,Unnamed: 0,oracle_id,name,name_ja,banned,mv,rarity,text,type,power,toughness,w,u,b,r,g,c
0,0,8adbba6e-03ef-4278-aec5-8a4496b377a8,Abandon Hope,断念,False,2,uncommon,"As an additional cost to cast this spell, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards.",Sorcery,,,False,False,True,False,False,False
1,1,5a70ccfa-d12d-4e62-a1a4-f05cda2fd442,Abandoned Outpost,見捨てられた前哨地,False,0,common,"Abandoned Outpost enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Abandoned Outpost: Add one mana of any color.",Land,,,False,False,False,False,False,True
2,2,c208b959-d0e4-4a9a-8255-2c7cc7596767,Abbey Gargoyles,修道院のガーゴイル,False,5,uncommon,"Flying, protection from red",Creature — Gargoyle,3,4,True,False,False,False,False,False
3,3,62e3f285-886c-414e-b4ff-403a7c01c23a,Abbey Matron,,False,3,common,"{W}, {T}: Abbey Matron gets +0/+3 until end of turn.",Creature — Human Cleric,1,3,True,False,False,False,False,False
4,4,d0e1904e-1a37-41f6-8582-b9ea794bb886,Abduction,誘拐,False,4,uncommon,"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner's control.",Enchantment — Aura,,,False,True,False,False,False,False
5,5,6300de53-6e71-4f0e-87e1-b0acd25c59a8,Abeyance,中断,False,2,rare,"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.
Draw a card.",Instant,,,True,False,False,False,False,False
6,6,dd97e457-07eb-4918-b780-ae7ff42a37e7,Abjure,拒絶,False,1,common,"As an additional cost to cast this spell, sacrifice a blue permanent.
Counter target spell.",Instant,,,False,True,False,False,False,False
7,7,d6d7faa8-ecc9-408b-9c46-a0f62c74f567,Abolish,廃止,False,3,uncommon,"You may discard a Plains card rather than pay this spell's mana cost.
Destroy target artifact or enchantment.",Instant,,,True,False,False,False,False,False
8,8,2c57c4e9-0a46-45d6-92db-9203fb722b60,Abomination,忌まわしき者,False,5,uncommon,"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.",Creature — Horror,2,6,False,False,True,False,False,False
9,9,28f70f86-19a9-4811-bc10-423a05842d39,Aboroth,アボロス,False,6,rare,"Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",Creature — Elemental,9,9,False,False,False,False,True,False
10,10,95db05eb-2c25-43f2-8e18-dfc64f490634,Aboshan's Desire,アボシャンの願望,False,1,common,"Enchant creature
Enchanted creature has flying.
Threshold — Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)",Enchantment — Aura,,,False,True,False,False,False,False
11,11,d4d44264-b276-4bd7-8fbe-6af292b08773,"Aboshan, Cephalid Emperor",セファリッドの皇帝アボシャン,False,6,rare,"Tap an untapped Cephalid you control: Tap target permanent.
{U}{U}{U}: Tap all creatures without flying.",Legendary Creature — Cephalid Noble,3,3,False,True,False,False,False,False
12,12,8a810017-06ac-4824-bc2f-a7d303d58ad7,About Face,回れ右,False,1,common,Switch target creature's power and toughness until end of turn.,Instant,,,False,False,False,True,False,False
13,13,41785f7b-3d02-4b7f-86ff-b381f626142e,Absolute Grace,絶対の優雅,False,2,uncommon,All creatures have protection from black.,Enchantment,,,True,False,False,False,False,False
14,14,f4aa8391-34d5-4ad2-a981-9aa08f8229db,Absolute Law,絶対の法,False,2,uncommon,All creatures have protection from red.,Enchantment,,,True,False,False,False,False,False
15,15,132ca99a-a3c7-4ed6-b4d0-0edcd7140ca2,Absorb,吸収,False,3,rare,Counter target spell. You gain 3 life.,Instant,,,True,True,False,False,False,False
16,16,a2404d88-0621-49ae-9908-052c23a96ac6,Abu Ja'far,アブー・ジャーファル,False,1,uncommon,"When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.",Creature — Human,0,1,True,False,False,False,False,False
17,17,eccc9a54-2b56-4a02-9926-258d5b2e25fb,Abundance,豊穣,False,4,rare,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",Enchantment,,,False,False,False,False,True,False
18,18,4954181c-cb46-4cac-adc3-2c8b7693a211,Abyssal Gatekeeper,深淵の門番,False,2,common,"When Abyssal Gatekeeper dies, each player sacrifices a creature.",Creature — Horror,1,1,False,False,True,False,False,False
19,19,6b60422a-765b-4168-a37b-68109103385a,Abyssal Horror,深淵の怪物,False,6,rare,"Flying
When Abyssal Horror enters the battlefield, target player discards two cards.",Creature — Horror,2,2,False,False,True,False,False,False
20,20,b96ccc2f-88e5-4522-924e-76fc76dc3b39,Abyssal Hunter,深淵の狩人,False,4,rare,"{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.",Creature — Human Assassin,1,1,False,False,True,False,False,False
